,Driver,QualifyingTime (s)
1,Oscar Piastri,90.64099999999999
2,George Russell,90.72299999999998
3,Lando Norris,90.79299999999999
4,Max Verstappen,90.817
5,Lewis Hamilton,90.92699999999999
6,Charles Leclerc,91.02099999999999
7,Isack Hadjar,91.079
8,Kimi Antonelli,91.103
9,Yuki Tsunoda,91.63799999999999
10,Alex Albon,91.70599999999999
11,Esteban Ocón,91.625
12,Nico Hulkenberg,91.632
13,Fernando Alonso,91.688
14,Lance Stroll,91.773
15,Carlos Sainz,91.84
16,Pierre Gasly,91.992
17,Oliver Bearman,92.018
18,Jack Doohan,92.092
19,Gabriel Bortoleto,92.14099999999999
20,Liam Lawson,92.174
