,DriverCode,Driver,QualifyingTime (s)
1,PIA,Oscar Piastri,90.64099999999999
2,RUS,George Russell,90.72299999999998
3,NOR,Lando Norris,90.79299999999999
4,VER,Max Verstappen,90.817
5,HAM,Lewis Hamilton,90.92699999999999
6,LEC,Charles Leclerc,91.02099999999999
7,HAD,Isack Hadjar,91.079
8,ANT,Kimi Antonelli,91.103
9,TSU,Yuki Tsunoda,91.63799999999999
10,,Alex Albon,91.70599999999999
11,,Esteban Ocón,91.625
12,,Nico Hulkenberg,91.632
13,ALO,Fernando Alonso,91.688
14,STR,Lance Stroll,91.773
15,SAI,Carlos Sainz,91.84
16,GAS,Pierre Gasly,91.992
17,BEA,Oliver Bearman,92.018
18,DOO,Jack Doohan,92.092
19,BOR,Gabriel Bortoleto,92.14099999999999
20,LAW,Liam Lawson,92.174
